Freif�cherliste,,,,,,,,,,,,,,
Abteilung,Jahrgang,Freigegenstand,Kurzbezeichnung,Stundenanzahl,Lehrer-Email,Lehrer,Kursbeschreibung,Sonstige Informationen,Bild,,,,,
HIT,"1,2,3,4,5",Name,K�rzel,1,leher@tgm.ac.at,LehrerK�rzel,Beschreibung in ganzen S�tzen,diese Zeile sind Beispieleintr�ge,bild.png,,,,,
"HBG,HEL",3,Cambridge First Certificate,Das ist eine Kurzbeschreibung,3,lehrer@tgm.ac.at,VIDM,Das ist eine ausf�hrlichere Kursbeschreibung,leer,bild.png,,,,,
HMB,,Cambridge First Certificate,bocjvjrv,2,lehrer@tgm.ac.at,KOFJ,,bleibt leer,bild.png,,,,,
,0,hhh,,j,lehrer@tgm.ac.at,hu,knj,,bild.png,,,,,
5,g,777,987,njh,lehrer@tgm.ac.at,687685,9809,,bild.png,,,,,
hju,8,,hbgfthk,7-0,lehrer@tgm.ac.at,BHGF/GHDN,jkhgdsyxcv,,bild.png,,,,,
HGGGZ,1-8,Hallo,jns672bbu 298ehc,5,lehrer@tgm.ac.at,,hg6i,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
